object SCIN CADM2 COX2 RELL1 LOC100287015 TREML3P 1558154_at KLHL8 LOC101927592 MIR646HG||LOC729296 NCKAP5L LOC101927657 1565265_at OR4D1 MAP7 NPR2 MEOX1 TCP11L1 KDM6B 215137_at IGLV@ ZSCAN18 CASQ1 220932_at GJA9||MYCBP||GJA9-MYCBP TAS2R16 NFIA LOC283075 234368_at 234817_at LOC101927330 237147_at PPOX 239402_at 241170_at C3orf62||MIR4271 SYNE1 ZNF788 decision
GSM627095.CEL 3.1527 2.5397 13.4386 4.1351 4.6273 4.9345 5.3856 3.2045 3.4025 3.4184 3.6545 3.2972 3.5873 4.5672 4.6652 5.8312 4.425 4.8088 7.2801 5.8039 2.8165 4.5869 3.6773 3.8293 4.2891 3.3816 5.3869 3.3532 2.5167 3.0131 4.6344 2.8205 4.7884 3.8765 2.6222 7.1743 4.2813 4.3362 control
GSM627079.CEL 3.1354 2.8737 13.5369 4.098 4.3444 5.011 5.2512 3.1018 3.4648 3.1965 3.8114 3.3645 3.4969 3.8743 6.0308 6.1577 4.5097 4.7135 8.054 5.6511 3.0636 4.4622 3.1761 3.5556 4.3162 3.6081 5.2549 3.4401 2.6135 2.874 3.9999 2.759 3.8189 3.2842 2.6325 7.6126 4.269 4.3594 control
GSM627082.CEL 3.0916 2.7123 13.3896 3.9362 4.4056 4.2112 5.2781 3.8029 3.1486 3.4158 3.7431 3.1061 3.858 4.2713 5.2982 6.0683 4.6865 4.48 6.9556 5.3328 3.0116 5.3154 3.2931 3.6703 4.1235 3.4636 5.162 2.8867 2.5431 2.9362 4.6546 3.0214 4.3735 3.3883 2.6115 7.066 3.6703 4.3392 control
GSM627074.CEL 3.2554 2.7091 13.5328 4.2466 4.105 4.6797 5.194 2.7033 3.9164 3.0429 4.1935 3.4169 3.4973 4.2957 5.1884 5.807 4.155 4.7265 8.7996 5.9392 3.1724 5.2264 3.5224 3.8002 4.4826 3.2283 4.9644 3.1954 2.6562 3.3722 4.4059 2.9715 4.5161 3.4076 2.5314 7.176 3.9118 4.2276 control
GSM627077.CEL 3.0445 2.6061 13.4431 3.8826 4.0157 4.9773 5.2198 2.8667 3.6955 3.2195 3.64 3.1233 3.5918 3.9079 5.1296 5.915 4.4699 4.9069 7.3262 5.9441 3.0762 4.9958 3.0015 3.8763 4.3344 3.151 4.8904 3.6289 2.5343 3.1089 4.1788 3.192 4.4021 3.3091 2.755 7.4673 3.6921 4.6201 control
GSM627093.CEL 2.877 2.5657 13.4984 4.4032 3.9567 5.6073 5.1566 2.6838 3.4588 3.3018 4.2081 2.8916 3.697 4.7812 4.8124 5.9466 4.818 5.1117 8.1806 5.6834 3.2855 4.9709 3.4854 3.6609 5.1356 3.1616 5.2917 3.1948 2.8489 2.9257 4.2744 3.0377 4.5478 3.2876 2.574 7.0941 4.1039 4.7227 control
GSM627120.CEL 2.8755 2.6576 13.5813 4.0811 4.3497 4.566 5.226 2.9054 3.4149 3.064 3.617 2.9119 3.4454 4.5419 5.8632 5.83 4.5082 5.7106 6.3289 5.5952 2.9693 4.8615 3.2576 3.4838 4.257 3.0743 4.7691 3.2251 2.6069 3.1845 4.0907 3.0516 4.2125 3.2898 2.4845 7.0219 4.1256 4.5673 control
GSM627124.CEL 2.953 2.6951 13.572 4.1368 4.542 5.5576 5.1662 3.05 3.6239 3.1101 3.9221 3.1007 3.748 4.174 4.9417 6.1765 4.0862 4.7958 7.5963 5.7772 3.0466 5.3172 3.4845 3.8676 4.3313 3.3381 5.1157 2.87 2.6903 3.0088 4.324 2.9573 4.7423 3.4731 2.6443 6.6719 4.2416 4.3015 control
GSM627075.CEL 2.8762 3.2831 13.5343 4.1417 4.7452 4.6111 5.7078 2.7706 3.5656 3.3651 3.9259 3.4617 3.6281 4.5958 4.084 5.8583 4.2821 4.9212 7.0911 5.8626 3.2033 5.0372 3.5132 3.7166 4.2549 3.2782 5.1607 3.0393 2.6382 3.1808 4.1957 2.9335 4.2429 3.4007 2.5118 6.5764 3.9154 4.5857 control
GSM627085.CEL 2.8027 2.616 13.4739 4.1071 4.0749 4.2545 5.4594 3.2173 3.5734 3.3415 3.6645 2.9771 3.4781 4.5108 5.1604 5.8423 4.2901 4.2015 8.8778 6.1612 3.0412 5.6416 3.0577 3.7941 4.3322 3.0355 4.6583 3.0647 2.784 3.2675 4.1161 3.0368 4.5136 3.2548 2.7778 7.0395 3.7883 4.1092 control
